Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 
(s)	 (m) 	(m) 	(m) 	(m) 	(m) 	(m) 	
0.01001	 1	 0	 -1	 0	 0	 -0.00617978	 
0.02	 1	 0	 -1	 0	 0	 -1.97461	 
0.03	 1	 0	 -1	 0	 0	 -0.056631	 
0.04	 1	 0	 -1	 0	 0	 -1.90121	 
0.05001	 1	 0	 -1	 0	 0	 -0.149647	 
0.06001	 1	 0	 -1	 0	 0	 -1.78948	 
0.07001	 1	 0	 -1	 0	 0	 -0.27907	 
0.08	 1	 0	 -1	 0	 0	 -1.64432	 
0.09	 1	 0	 -1	 0	 0	 -0.434833	 
0.1	 1	 0	 -1	 0	 0	 -1.48298	 
0.11	 1	 0	 -1	 0	 0	 -0.601492	 
0.12	 1	 0	 -1	 0	 0	 -1.31292	 
0.13	 1	 0	 -1	 0	 0	 -0.773442	 
0.14	 1	 0	 -1	 0	 0	 -1.14005	 
0.15	 1	 0	 -1	 0	 0	 -0.946632	 
0.16	 1	 0	 -1	 0	 0	 -0.966778	 
0.17	 1	 0	 -1	 0	 0	 -1.11991	 
0.18	 1	 0	 -1	 0	 0	 -0.793556	 
0.19	 1	 0	 -1	 0	 0	 -1.29289	 
0.2	 1	 0	 -1	 0	 0	 -0.621323	 
0.21	 1	 0	 -1	 0	 0	 -1.46351	 
0.22	 1	 0	 -1	 0	 0	 -0.45372	 
0.23	 1	 0	 -1	 0	 0	 -1.62629	 
0.24	 1	 0	 -1	 0	 0	 -0.298099	 
0.25	 1	 0	 -1	 0	 0	 -1.77216	 
0.26	 1	 0	 -1	 0	 0	 -0.164876	 
0.27	 1	 0	 -1	 0	 0	 -1.88987	 
0.28	 1	 0	 -1	 0	 0	 -0.0655048	 
0.29001	 1	 0	 -1	 0	 0	 -1.96758	 
0.30001	 1	 0	 -1	 0	 0	 -0.0103465	 
0.31001	 1	 0	 -1	 0	 0	 -1.99956	 
0.32001	 1	 0	 -1	 0	 0	 -0.00364407	 
0.33001	 1	 0	 -1	 0	 0	 -1.9808	 
0.34001	 1	 0	 -1	 0	 0	 -0.047334	 
0.35001	 1	 0	 -1	 0	 0	 -1.91336	 
0.36001	 1	 0	 -1	 0	 0	 -0.136674	 
0.37001	 1	 0	 -1	 0	 0	 -1.80439	 
0.38001	 1	 0	 -1	 0	 0	 -0.262562	 
0.39001	 1	 0	 -1	 0	 0	 -1.66442	 
0.40001	 1	 0	 -1	 0	 0	 -0.413687	 
0.41001	 1	 0	 -1	 0	 0	 -1.50486	 
0.42001	 1	 0	 -1	 0	 0	 -0.579148	 
0.43001	 1	 0	 -1	 0	 0	 -1.33553	 
0.44001	 1	 0	 -1	 0	 0	 -0.75071	 
0.45001	 1	 0	 -1	 0	 0	 -1.16283	 
0.46001	 1	 0	 -1	 0	 0	 -0.923846	 
0.47001	 1	 0	 -1	 0	 0	 -0.989565	 
0.48001	 1	 0	 -1	 0	 0	 -1.09712	 
0.49001	 1	 0	 -1	 0	 0	 -0.81632	 
0.50001	 1	 0	 -1	 0	 0	 -1.2702	 
0.51001	 1	 0	 -1	 0	 0	 -0.643826	 
0.52001	 1	 0	 -1	 0	 0	 -1.44136	 
0.53001	 1	 0	 -1	 0	 0	 -0.475277	 
0.54001	 1	 0	 -1	 0	 0	 -1.60561	 
0.55001	 1	 0	 -1	 0	 0	 -0.317536	 
0.56001	 1	 0	 -1	 0	 0	 -1.75433	 
0.57001	 1	 0	 -1	 0	 0	 -0.18071	 
0.58001	 1	 0	 -1	 0	 0	 -1.8764	 
0.59001	 1	 0	 -1	 0	 0	 -0.0762622	 
0.60001	 1	 0	 -1	 0	 0	 -1.96066	 
0.61001	 1	 0	 -1	 0	 0	 -0.014426	 
0.62001	 1	 0	 -1	 0	 0	 -1.99843	 
0.63001	 1	 0	 -1	 0	 0	 -0.00179426	 
0.64001	 1	 0	 -1	 0	 0	 -1.98558	 
0.65	 1	 0	 -1	 0	 0	 -0.040706	 
0.66	 1	 0	 -1	 0	 0	 -1.92225	 
0.67	 1	 0	 -1	 0	 0	 -0.125774	 
0.68	 1	 0	 -1	 0	 0	 -1.81705	 
0.69	 1	 0	 -1	 0	 0	 -0.248454	 
0.7	 1	 0	 -1	 0	 0	 -1.67969	 
0.71	 1	 0	 -1	 0	 0	 -0.397542	 
0.72	 1	 0	 -1	 0	 0	 -1.52163	 
0.73	 1	 0	 -1	 0	 0	 -0.561981	 
0.74	 1	 0	 -1	 0	 0	 -1.35293	 
0.75	 1	 0	 -1	 0	 0	 -0.733192	 
0.76	 1	 0	 -1	 0	 0	 -1.18039	 
0.77	 1	 0	 -1	 0	 0	 -0.906271	 
0.78	 1	 0	 -1	 0	 0	 -1.00714	 
0.79	 1	 0	 -1	 0	 0	 -1.07955	 
0.8	 1	 0	 -1	 0	 0	 -0.833886	 
0.81	 1	 0	 -1	 0	 0	 -1.25268	 
0.82	 1	 0	 -1	 0	 0	 -0.661228	 
0.83	 1	 0	 -1	 0	 0	 -1.42419	 
0.84	 1	 0	 -1	 0	 0	 -0.492031	 
0.85	 1	 0	 -1	 0	 0	 -1.58948	 
0.86	 1	 0	 -1	 0	 0	 -0.332778	 
0.87	 1	 0	 -1	 0	 0	 -1.74025	 
0.88	 1	 0	 -1	 0	 0	 -0.193311	 
0.89	 1	 0	 -1	 0	 0	 -1.86556	 
0.9	 1	 0	 -1	 0	 0	 -0.0850696	 
0.91	 1	 0	 -1	 0	 0	 -1.95412	 
0.92	 1	 0	 -1	 0	 0	 -0.018531	 
0.93	 1	 0	 -1	 0	 0	 -1.99688	 
0.94	 1	 0	 -1	 0	 0	 -0.000746864	 
0.95	 1	 0	 -1	 0	 0	 -1.9892	 
0.96	 1	 0	 -1	 0	 0	 -0.0336738	 
0.97	 1	 0	 -1	 0	 0	 -1.93192	 
0.98	 1	 0	 -1	 0	 0	 -0.113712	 
0.99	 1	 0	 -1	 0	 0	 -1.8312	 
1	 1	 0	 -1	 0	 0	 -0.232556	 
1.01	 1	 0	 -1	 0	 0	 -1.697	 
1.02	 1	 0	 -1	 0	 0	 -0.379158	 
1.03	 1	 0	 -1	 0	 0	 -1.54079	 
1.04	 1	 0	 -1	 0	 0	 -0.54231	 
1.05	 1	 0	 -1	 0	 0	 -1.37291	 
1.06	 1	 0	 -1	 0	 0	 -0.713055	 
1.07	 1	 0	 -1	 0	 0	 -1.2006	 
1.08	 1	 0	 -1	 0	 0	 -0.88605	 
1.09	 1	 0	 -1	 0	 0	 -1.02737	 
1.1	 1	 0	 -1	 0	 0	 -1.05932	 
1.11	 1	 0	 -1	 0	 0	 -0.854103	 
1.12	 1	 0	 -1	 0	 0	 -1.2325	 
1.13	 1	 0	 -1	 0	 0	 -0.681291	 
1.14	 1	 0	 -1	 0	 0	 -1.40437	 
1.15	 1	 0	 -1	 0	 0	 -0.511431	 
1.16	 1	 0	 -1	 0	 0	 -1.57075	 
1.17	 1	 0	 -1	 0	 0	 -0.350564	 
1.18	 1	 0	 -1	 0	 0	 -1.72374	 
1.19	 1	 0	 -1	 0	 0	 -0.208207	 
1.2	 1	 0	 -1	 0	 0	 -1.85262	 
1.21	 1	 0	 -1	 0	 0	 -0.0957375	 
1.22	 1	 0	 -1	 0	 0	 -1.946	 
1.23	 1	 0	 -1	 0	 0	 -0.0238808	 
1.24	 1	 0	 -1	 0	 0	 -1.99444	 
1.25	 1	 0	 -1	 0	 0	 -0.000194566	 
1.26	 1	 0	 -1	 0	 0	 -1.99272	 
1.27	 1	 0	 -1	 0	 0	 -0.0272795	 
1.28	 1	 0	 -1	 0	 0	 -1.94102	 
1.29	 1	 0	 -1	 0	 0	 -0.102166	 
1.3	 1	 0	 -1	 0	 0	 -1.84491	 
1.31	 1	 0	 -1	 0	 0	 -0.217014	 
1.32	 1	 0	 -1	 0	 0	 -1.71403	 
1.33	 1	 0	 -1	 0	 0	 -0.360971	 
1.34	 1	 0	 -1	 0	 0	 -1.55982	 
1.35	 1	 0	 -1	 0	 0	 -0.522711	 
1.36	 1	 0	 -1	 0	 0	 -1.39286	 
1.37	 1	 0	 -1	 0	 0	 -0.692916	 
1.38	 1	 0	 -1	 0	 0	 -1.22082	 
1.39	 1	 0	 -1	 0	 0	 -0.865802	 
1.4	 1	 0	 -1	 0	 0	 -1.04762	 
1.41	 1	 0	 -1	 0	 0	 -1.03907	 
1.42	 1	 0	 -1	 0	 0	 -0.874352	 
1.43	 1	 0	 -1	 0	 0	 -1.21228	 
1.44	 1	 0	 -1	 0	 0	 -0.701417	 
1.45	 1	 0	 -1	 0	 0	 -1.38444	 
1.46	 1	 0	 -1	 0	 0	 -0.530976	 
1.47	 1	 0	 -1	 0	 0	 -1.5518	 
1.48	 1	 0	 -1	 0	 0	 -0.368625	 
1.49	 1	 0	 -1	 0	 0	 -1.70687	 
1.5	 1	 0	 -1	 0	 0	 -0.223533	 
1.51	 1	 0	 -1	 0	 0	 -1.83917	 
1.52	 1	 0	 -1	 0	 0	 -0.106979	 
1.53	 1	 0	 -1	 0	 0	 -1.93725	 
1.54	 1	 0	 -1	 0	 0	 -0.0299022	 
1.55	 1	 0	 -1	 0	 0	 -1.99131	 
1.56	 1	 0	 -1	 0	 0	 -0.000342079	 
1.57	 1	 0	 -1	 0	 0	 -1.99556	 
1.58	 1	 0	 -1	 0	 0	 -0.0215357	 
1.59	 1	 0	 -1	 0	 0	 -1.94951	 
1.6	 1	 0	 -1	 0	 0	 -0.0911538	 
1.61	 1	 0	 -1	 0	 0	 -1.85816	 
1.62	 1	 0	 -1	 0	 0	 -0.20185	 
1.63	 1	 0	 -1	 0	 0	 -1.73077	 
1.64	 1	 0	 -1	 0	 0	 -0.343	 
1.65	 1	 0	 -1	 0	 0	 -1.57871	 
1.66	 1	 0	 -1	 0	 0	 -0.503196	 
1.67	 1	 0	 -1	 0	 0	 -1.41278	 
1.68	 1	 0	 -1	 0	 0	 -0.672782	 
1.69	 1	 0	 -1	 0	 0	 -1.24106	 
1.7	 1	 0	 -1	 0	 0	 -0.845529	 
1.71	 1	 0	 -1	 0	 0	 -1.0679	 
1.72	 1	 0	 -1	 0	 0	 -1.01879	 
1.73	 1	 0	 -1	 0	 0	 -0.894631	 
1.74	 1	 0	 -1	 0	 0	 -1.19202	 
1.75	 1	 0	 -1	 0	 0	 -0.721602	 
1.76	 1	 0	 -1	 0	 0	 -1.36443	 
1.77	 1	 0	 -1	 0	 0	 -0.550655	 
1.78	 1	 0	 -1	 0	 0	 -1.53266	 
1.79	 1	 0	 -1	 0	 0	 -0.386946	 
1.8	 1	 0	 -1	 0	 0	 -1.68967	 
1.81	 1	 0	 -1	 0	 0	 -0.239272	 
1.82	 1	 0	 -1	 0	 0	 -1.82523	 
1.83	 1	 0	 -1	 0	 0	 -0.118781	 
1.84	 1	 0	 -1	 0	 0	 -1.92788	 
1.85	 1	 0	 -1	 0	 0	 -0.0365889	 
1.86	 1	 0	 -1	 0	 0	 -1.98749	 
1.87	 1	 0	 -1	 0	 0	 -0.0011921	 
1.88	 1	 0	 -1	 0	 0	 -1.9977	 
1.89	 1	 0	 -1	 0	 0	 -0.0164537	 
1.9	 1	 0	 -1	 0	 0	 -1.95739	 
1.91	 1	 0	 -1	 0	 0	 -0.0806934	 
1.92	 1	 0	 -1	 0	 0	 -1.87093	 
1.93	 1	 0	 -1	 0	 0	 -0.187083	 
1.94	 1	 0	 -1	 0	 0	 -1.7472	 
1.95	 1	 0	 -1	 0	 0	 -0.325263	 
1.96	 1	 0	 -1	 0	 0	 -1.59743	 
1.97	 1	 0	 -1	 0	 0	 -0.483779	 
1.98	 1	 0	 -1	 0	 0	 -1.43264	 
1.99	 1	 0	 -1	 0	 0	 -0.652659	 
2	 1	 0	 -1	 0	 0	 -1.26131	 
2.01	 1	 0	 -1	 0	 0	 -0.825232	 
2.02	 1	 0	 -1	 0	 0	 -1.08821	 
2.03	 1	 0	 -1	 0	 0	 -0.998476	 
2.04	 1	 0	 -1	 0	 0	 -0.91494	 
2.05	 1	 0	 -1	 0	 0	 -1.17172	 
2.06	 1	 0	 -1	 0	 0	 -0.741839	 
2.07	 1	 0	 -1	 0	 0	 -1.34434	 
2.08	 1	 0	 -1	 0	 0	 -0.570457	 
2.09	 1	 0	 -1	 0	 0	 -1.51335	 
2.1	 1	 0	 -1	 0	 0	 -0.405509	 
2.11	 1	 0	 -1	 0	 0	 -1.67215	 
2.12	 1	 0	 -1	 0	 0	 -0.255406	 
2.13	 1	 0	 -1	 0	 0	 -1.81082	 
2.14	 1	 0	 -1	 0	 0	 -0.131128	 
2.15	 1	 0	 -1	 0	 0	 -1.9179	 
2.16	 1	 0	 -1	 0	 0	 -0.0439336	 
2.17	 1	 0	 -1	 0	 0	 -1.98298	 
2.18	 1	 0	 -1	 0	 0	 -0.00274625	 
2.19	 1	 0	 -1	 0	 0	 -1.99915	 
2.2	 1	 0	 -1	 0	 0	 -0.0120441	 
2.21	 1	 0	 -1	 0	 0	 -1.96464	 
2.22	 1	 0	 -1	 0	 0	 -0.0708023	 
2.23	 1	 0	 -1	 0	 0	 -1.88321	 
2.24001	 1	 0	 -1	 0	 0	 -0.170918	 
2.25001	 1	 0	 -1	 0	 0	 -1.76534	 
2.26001	 1	 0	 -1	 0	 0	 -0.305548	 
2.27001	 1	 0	 -1	 0	 0	 -1.61835	 
2.28001	 1	 0	 -1	 0	 0	 -0.461997	 
2.29001	 1	 0	 -1	 0	 0	 -1.455	 
2.30001	 1	 0	 -1	 0	 0	 -0.629969	 
2.31001	 1	 0	 -1	 0	 0	 -1.28417	 
2.32001	 1	 0	 -1	 0	 0	 -0.802297	 
2.33001	 1	 0	 -1	 0	 0	 -1.11116	 
2.34001	 1	 0	 -1	 0	 0	 -0.975518	 
2.35001	 1	 0	 -1	 0	 0	 -0.937898	 
2.36001	 1	 0	 -1	 0	 0	 -1.14878	 
2.37001	 1	 0	 -1	 0	 0	 -0.764738	 
2.38001	 1	 0	 -1	 0	 0	 -1.32157	 
2.39001	 1	 0	 -1	 0	 0	 -0.59294	 
2.40001	 1	 0	 -1	 0	 0	 -1.49136	 
2.41001	 1	 0	 -1	 0	 0	 -0.426733	 
2.42001	 1	 0	 -1	 0	 0	 -1.65202	 
2.43001	 1	 0	 -1	 0	 0	 -0.274069	 
2.44001	 1	 0	 -1	 0	 0	 -1.79401	 
2.45001	 1	 0	 -1	 0	 0	 -0.145701	 
2.46001	 1	 0	 -1	 0	 0	 -1.90592	 
2.47001	 1	 0	 -1	 0	 0	 -0.0530028	 
2.48001	 1	 0	 -1	 0	 0	 -1.97706	 
2.49001	 1	 0	 -1	 0	 0	 -0.0053467	 
